,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,4,1,2,2,0,2,4,7,2,0,0,0,0,0,0,0
1,0,0,3,3,0,0,0,0,2,5,1,5,3,6,5,7,4,4,1,0,0,0,0,1
2,0,0,0,0,0,0,0,1,3,1,2,1,0,3,5,5,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,2,0,0,2,3,4,3,7,1,4,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,1,0,0,0,0,0
6,0,0,0,0,0,0,0,2,9,3,9,6,20,9,6,12,9,8,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,290,406,322,212,201,94,211,177,194,57,21,65,48,89,0,0
8,0,0,0,0,0,0,0,0,4,6,1,0,4,5,1,7,9,0,2,0,0,0,0,0
9,0,0,0,0,0,0,0,0,5,1,4,0,1,5,4,8,3,4,2,0,0,0,0,0
10,0,0,0,0,0,0,0,0,3,3,7,8,8,6,8,3,12,2,4,0,0,0,0,0
11,0,0,0,0,0,0,0,20,52,86,43,29,64,53,59,72,44,31,27,4,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,2,0,3,8,4,2,1,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,4,8,30,17,6,7,0,12,6,0,0,0,11,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,12,1,4,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,1,0,2,2,1,3,8,5,1,1,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,4,0,4,6,1,1,1,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,4,4,5,13,12,14,10,14,12,15,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,5,6,1,1,4,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,1,1,7,7,3,2,8,9,23,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,17,12,29,15,44,20,10,25,15,7,0,1,0,0,0,0
28,0,0,0,0,0,0,0,0,12,75,38,25,34,37,20,27,10,9,3,3,1,2,0,0
29,0,0,0,0,0,0,0,0,0,0,0,8,2,0,20,11,24,28,21,4,6,16,0,0
